AREA;POSTCODE;MEDIAN_PRICE;ROOMS;STDEV;AVERAGE_PRICE;CONFIDENCE;95_INTERVAL_MIN;95_INTERVAL_MAX;PORPOTION_ROOMS;FLATMATE_AVERAGE_BUDGET;FLATMATE_MEDIAN_BUDGET;FLATMATE_ADS;PORPOTION_FLATMATE;MED_PRICE-MED_BUDDET;;
Holloway;N7;819;211;759;1041;102;939;1144;1,136363636;739,025;700;6630;1,262585386;-119;;- £119
Homerton;E9;728;94;467;819;94;725;914;0,506247307;737,045;700;6605;1,257824506;-28;;- £28
Hornsey / Crouch End;N8;660;79;598;782;132;650;914;0,425463162;669,104;600;1318;0,250993596;-60;;- £60
Kennington;SE11;787;280;529;933;62;871;995;1,507970702;756,998;700;10239;1,949866029;-87;;- £87
Kentish Town;NW5;765;76;388;843;87;756;930;0,409306333;739,025;700;6630;1,262585386;-65;;- £65
Kilburn;NW6;800;446;633;900;59;842;959;2,401981904;731,194;700;5901;1,123758124;-100;;- £100
Lee;SE12;577;35;138;591;46;545;637;0,188496338;656,22;600;1548;0,294793692;23;;+ £23
Lewisham;SE13;650;119;448;741;81;660;821;0,640887548;715,072;699,5;4827;0,919230718;50;;+ £49,5
Leyton;E10;629;362;401;729;41;688;771;1,949590694;733,008;700;6173;1,175556499;71;;+ £71
Leytonstone;E11;600;112;298;682;55;626;737;0,603188281;644,59;600;1164;0,221666575;0;;+ £0
London Bridge / Borough / Waterloo;SE1;866;241;731;1095;92;1002;1187;1,297931926;777,045;750;6617;1,260109729;-116;;- £116
Lower Edmonton;N9;550;29;240;570;87;483;657;0,15618268;638,7644628;563;714;0,135970734;13;;+ £13
Maida Vale / Paddington;W9;862;165;600;1022;92;931;1114;0,888625592;743,162;700;5929;1,12909031;-162;;- £162
Manor Park;E12;550;35;98;536;32;504;569;0,188496338;647,332;600;1500;0,285652802;50;;+ £50
Mill Hill;NW7;680;29;554;809;202;608;1011;0,15618268;656,1855524;600;689;0,131209854;-80;;- £80
Mortlake;SW14;688;14;123;693;64;628;757;0,075398535;703,622;650;2012;0,383155626;-38;;- £38
Muswell Hill;N10;650;95;506;755;102;653;857;0,511632917;680,807;650;2235;0,425622676;0;;+ £0
New Cross;SE14;693;153;362;775;57;718;832;0,823998277;716,96;700;5715;1,088337177;7;;+ £7
New Southgate;N11;650;61;336;718;84;634;803;0,328522189;643,9437229;600;907;0,172724728;-50;;- £50
North Finchley;N12;600;37;119;589;38;551;627;0,199267557;686,058;650;1563;0,29765022;50;;+ £50
North Kensington;W10;800;53;721;1020;194;826;1215;0,285437312;747,487;700;7162;1,363896914;-100;;- £100
Norwood;SE25;560;91;199;596;41;555;637;0,490090478;638,1979045;600;847;0,161298616;40;;+ £40
